,title,number,created_at,closed_at,labels,state
3620,Coletor para o template Betha - Informações Institucionais - Conselhos Municipais,1038,2022-07-13 01:41:46,2022-07-13 01:47:24,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Informações Institucionais""), Label(name=""não-localizado""), Label(name=""subtag-Conselhos Municipais"")]",closed
3621,Coletor para o template Betha - Acesso à Informação - Relatório Estatístico,899,2022-06-20 11:01:25,2022-06-20 12:03:36,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Acesso à Informação""), Label(name=""subtag-Relatório Estatístico"")]",closed
3623,Coletor para o template Sinplanweb - Depesas com Diarias,481,2022-04-16 14:49:01,2022-04-22 14:15:14,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Despesas com diárias"")]",closed
3624,Coletor para o template da Habeas data (Licitações),77,2021-11-05 14:24:51,2021-11-12 14:12:13,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Habeas Data"")]",closed
3626,Coletor para o template Memory (66) - Despesas - Pagamentos,1235,2022-07-19 23:25:14,2022-07-22 13:10:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Memory""), Label(name=""tag-Despesas""), Label(name=""subtag-Pagamentos""), Label(name=""[0] Coleta"")]",closed
3627,Coletor para o template da GRP (27) (Licitações),86,2021-11-09 20:41:52,2022-01-23 19:29:40,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-GRP"")]",closed
3629,Coletor para o Template 2 (28) (Licitações),97,2021-11-19 10:39:38,2022-02-18 13:52:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Template2"")]",closed
3630,Coletor para o template ADPM (22) - Receitas - Previsão e Classificação,884,2022-05-23 13:40:34,2022-05-24 11:39:02,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ADPM""), Label(name=""tag-Receitas""), Label(name=""subtag-Previsão e Classificação"")]",closed
3631,Coletor para o template Sinplanweb - Contratos,476,2022-04-04 12:44:35,2022-04-14 15:08:03,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Contratos"")]",closed
3632,Coletor para o template Síntese Tecnologia e Informática -Licitações,90,2021-11-19 10:18:38,2022-05-23 20:25:08,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Licitação""), Label(name=""template-Síntese tecnologia informatica"")]",closed
3635,Coletor para o template Betha - Servidores Públicos - Quadro de Pessoal,885,2022-05-23 22:24:56,2022-06-03 03:11:21,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""campo-Quadro de Pessoal"")]",closed
3636,Coletor para o template ABO - Receitas,1046,2022-07-13 22:18:13,2022-07-21 13:41:31,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-ABO""), Label(name=""tag-Receitas"")]",closed
3638,Coletor para o template ADPM - Despesas - Específicas,887,2022-05-24 15:14:04,2022-06-08 16:19:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa"")]",closed
3639,Coletor para o template ADPM - Despesas - Leis Orçamentárias,888,2022-05-24 15:15:56,2022-06-08 16:19:28,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""tag-Despesas""), Label(name=""template-ADPM""), Label(name=""[E] Externa""), Label(name=""[0] Coleta"")]",closed
3640,Coletor para o template Betha - Servidores Públicos - Dados de Remuneração,109,2021-12-14 17:04:34,2022-07-13 02:20:26,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Servidores Públicos""), Label(name=""não-localizado""), Label(name=""subtag-Dados de Remuneração"")]",closed
3642,Coletor para o template Sinplanweb - Receita Orçamentária,483,2022-04-18 23:43:08,2022-04-29 02:06:38,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Siplanweb""), Label(name=""tag-Receitas"")]",closed
3651,Coletor para o template Betha - Orçamento - Execução,320,2022-02-11 11:31:16,2022-07-13 01:49:20,"[Label(name=""Realização F01""), Label(name=""Epic""), Label(name=""template-Betha""), Label(name=""tag-Orçamento""), Label(name=""não-localizado""), Label(name=""subtag-Execução"")]",closed
