#Rank,Municipio (Planilha),Municipio (Clustering),Desenvolvedor (Planilha),Template (Clustering),template_name_size,cluster_id,Portal da Transparência (validado)
455,Divinolândia de Minas,Divinolândia de Minas,memory,sem_nome_no_clustering,,325.0,http://lai.memory.com.br/entidades/login/99Z70T
196,Carmópolis de Minas,Carmópolis de Minas,minaseducatecnologia,sem_nome_no_clustering,,724.0,https://transparencia.carmopolisdeminas.mg.gov.br/
53,Esmeraldas,Esmeraldas,municipioweb,sem_nome_no_clustering,,829.0,https://www.esmeraldas.mg.gov.br/acesso-a-informacao
353,Pirapetinga,Pirapetinga,plugtecnologia,sem_nome_no_clustering,,109.0,http://www.pirapetinga.mg.gov.br/transparencia/
377,Carneirinho,Carneirinho,portalcidadao,grp,GRP (27),90.0,http://transparencia.carneirinho.mg.gov.br:8090/portalcidadao/#efb33c382dcf9e4ae2294337ce2a566034ee25478c90493e56f55878a4d19d547154abb93a539ca141901243121b0442f68667740d76583a9b6fc842805a701255f50abffb83548323feb3d4a215dcba05fc4b5b868699999c1d78af95bbbed2ae7ab27d940f9f7a8b2debb75557ba1cd7f6303c3be5a0edaecf72a00208c722773c5ec1c75725b2
424,Alto Jequitibá,Alto Jequitibá,portalfacil,template3,Template3 (5),85.0,https://transparencia.altojequitiba.mg.gov.br/
593,Catas Altas,Catas Altas,portalfacil,sem_nome_no_clustering,,121.0,https://portaltransparencia.catasaltas.mg.gov.br/
163,Conselheiro Pena,Conselheiro Pena,portalfacil,sem_nome_no_clustering,,45.0,https://www.conselheiropena.mg.gov.br/transparencia
385,Formoso,Formoso,portalfacil,sem_nome_no_clustering,,203.0,https://www.monteformoso.mg.gov.br/servidores-por-nomes
9,Governador Valadares,Governador Valadares,portalfacil,sem_nome_no_clustering,,35.0,https://transparencia.valadares.mg.gov.br/
341,Iapu,Iapu,portalfacil,sem_nome_no_clustering,,43.0,https://transparencia.iapu.mg.gov.br/
275,Ibiraci,,portalfacil,,,,http://ibiraci.mg.gov.br/portal-da-transparencia/
10,Ipatinga,Ipatinga,portalfacil,sem_nome_no_clustering,,416.0,https://transparencia.ipatinga.mg.gov.br/
300,Jequeri,Jequeri,portalfacil,sem_nome_no_clustering,,45.0,https://www.jequeri.mg.gov.br/transparencia
68,Leopoldina,Leopoldina,portalfacil,sem_nome_no_clustering,,35.0,https://www.leopoldina.mg.gov.br/transparencia
265,Matias Barbosa,Matias Barbosa,portalfacil,sem_nome_no_clustering,,45.0,https://www.matiasbarbosa.mg.gov.br/transparencia
169,Monte Santo de Minas,Monte Santo de Minas,portalfacil,sem_nome_no_clustering,,832.0,https://transparencia.montesantodeminas.mg.gov.br/
219,Nova Era,Nova Era,portalfacil,sem_nome_no_clustering,,547.0,https://www.novaera.mg.gov.br/transparencia
151,Paraopeba,Paraopeba,portalfacil,sem_nome_no_clustering,,169.0,https://www.paraopeba.mg.gov.br/transparencia
61,Ponte Nova,Ponte Nova,portalfacil,sem_nome_no_clustering,,35.0,https://transparencia.pontenova.mg.gov.br/
213,Rio Pomba,Rio Pomba,portalfacil,sem_nome_no_clustering,,35.0,https://transparencia.riopomba.mg.gov.br/transparencia
102,Santana do Paraíso,Santana do Paraíso,portalfacil,sem_nome_no_clustering,,169.0,https://www.santanadoparaiso.mg.gov.br/transparencia
345,São Gonçalo do Rio Abaixo,São Gonçalo do Rio Abaixo,portalfacil,sem_nome_no_clustering,,169.0,https://www.saogoncalo.mg.gov.br/transparencia
54,São Sebastião do Paraíso,São Sebastião do Paraíso,portalfacil,sem_nome_no_clustering,,321.0,https://transparencia.ssparaiso.mg.gov.br/servidores
269,Tarumirim,Tarumirim,portalfacil,sem_nome_no_clustering,,169.0,https://www.tarumirim.mg.gov.br/transparencia
42,Timóteo,Timóteo,portalfacil,sem_nome_no_clustering,,43.0,https://transparencia.timoteo.mg.gov.br/
26,Ubá,Ubá,portalfacil,sem_nome_no_clustering,,203.0,https://transparencia.uba.mg.gov.br/
333,Eugenópolis,Eugenópolis,portalgrc,sem_nome_no_clustering,,686.0,https://www.eugenopolis.mg.gov.br/transparencia/
332,Porto Firme,Porto Firme,portalgrc,sem_nome_no_clustering,,99.0,https://www.portofirme.mg.gov.br/transparencia/portal-da-transparencia
381,Capim Branco,Capim Branco,portaltp,sem_nome_no_clustering,,125.0,http://capimbranco-mg.portaltp.com.br/
514,Palma,Palma,portlfacil,portalfacil,Portal Fácil (60),6.0,https://transparencia.palma.mg.gov.br/
558,Alto Caparaó,Alto Caparaó,prefeitura,sem_nome_no_clustering,,570.0,https://transparencia.altocaparao.mg.gov.br/
719,Alvarenga,Alvarenga,prefeitura,portalfacil,Portal Fácil (60),6.0,https://www.alvarenga.mg.gov.br/transparencia
101,Além Paraíba,Além Paraíba,prefeitura,sem_nome_no_clustering,,92.0,https://transparencia.alemparaiba.mg.gov.br/
254,Areado,Areado,prefeitura,sem_nome_no_clustering,,295.0,https://areado.mg.gov.br/contas/
1,Belo Horizonte,Belo Horizonte,prefeitura,template1,Template1 (9),24.0,https://transparencia.pbh.gov.br/
5,Betim,Betim,prefeitura,sem_nome_no_clustering,,651.0,http://www.betim.mg.gov.br/transparencia/
532,Botumirim,Botumirim,prefeitura,sem_nome_no_clustering,,683.0,http://botumirim.mg.gov.br/transparencia/
227,Campanha,Campanha,prefeitura,sem_nome_no_clustering,,648.0,https://www.campanha.mg.gov.br/index.php?option=com_content&view=article&id=1379&Itemid=228
725,Campo Azul,Campo Azul,prefeitura,sem_nome_no_clustering,,390.0,https://www.campoazul.mg.gov.br/portal-transparencia
109,Carangola,Carangola,prefeitura,sem_nome_no_clustering,,115.0,https://www.carangola.mg.gov.br/index.php/home/transparencia
39,Caratinga,Caratinga,prefeitura,sem_nome_no_clustering,,386.0,https://www.caratinga.mg.gov.br/transparencia
672,Carvalhos,Carvalhos,prefeitura,sem_nome_no_clustering,,564.0,https://www.carvalhos.mg.gov.br/portal-da-transparencia/
3,Contagem,Contagem,prefeitura,sem_nome_no_clustering,,772.0,http://www.contagem.mg.gov.br/transparencia/
